test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
benchmark_D1,59.4373,12,2279.0,2003.0,80.1376,102.8828,12,12,1.7309,4282.0,RAM,1g,data/series_1/RAM/summary_1g.csv,benchmark_d1,59.4373,,False,59.4373
benchmark_i1,296.1905,10,3518.0,3556.0,186.4006,232.1406,10,10,0.7838,7074.0,RAM,1g,data/series_1/RAM/summary_1g.csv,benchmark_i1,296.1905,,False,296.1905
boon,0.0833,6,108.0,29.0,0.3984,0.3984,6,6,4.7832,137.0,RAM,1g,data/series_1/RAM/summary_1g.csv,boon,0.0833,,False,0.0833
butcher,2.9489,7,199.0,393.0,40.6855,54.5352,7,7,18.4934,592.0,RAM,1g,data/series_1/RAM/summary_1g.csv,butcher,2.9489,,False,2.9489
butcher8,21.2495,8,569.0,1330.0,59.5572,66.7383,8,8,3.1407,1899.0,RAM,1g,data/series_1/RAM/summary_1g.csv,butcher8,21.2495,,False,21.2495
camera1s,1.3543,6,177.0,96.0,27.8301,54.9141,6,6,40.5479,273.0,RAM,1g,data/series_1/RAM/summary_1g.csv,camera1s,1.3543,,False,1.3543
caprasse,0.1292,4,65.0,188.0,0.1914,0.1914,4,4,1.4815,253.0,RAM,1g,data/series_1/RAM/summary_1g.csv,caprasse,0.1292,,False,0.1292
cassou,2.4246,5,39.0,154.0,39.2982,61.3008,4,5,25.2828,193.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cassou,2.4246,,False,2.4246
chandra4,0.0287,4,19.0,7.0,1.0273,1.0273,4,4,35.7959,26.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chandra4,0.0287,,False,0.0287
chandra5,0.1141,5,59.0,48.0,0.1992,0.1992,5,5,1.746,107.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chandra5,0.1141,,False,0.1141
chandra6,0.6295,6,188.0,262.0,0.0996,0.1992,6,6,0.3165,450.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chandra6,0.6295,,False,0.6295
chemequ,0.4925,5,81.0,60.0,0.2031,0.2031,5,5,0.4124,141.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chemequ,0.4925,,False,0.4925
chemequs,1.2731,5,95.0,79.0,29.1094,57.8164,5,5,45.4139,174.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chemequs,1.2731,,False,1.2731
chemkin,598.2644,11,2210.0,3914.0,197.7055,324.6602,11,11,0.5427,6124.0,RAM,1g,data/series_1/RAM/summary_1g.csv,chemkin,598.2644,,False,598.2644
cohn2,3.1888,4,0.0,417.0,42.6172,57.9609,4,4,18.1764,417.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cohn2,3.1888,,False,3.1888
cohn3,2693.8614,4,79.0,7341.0,507.8188,567.3125,4,4,0.2106,7420.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cohn3,2693.8614,,False,2693.8614
comb3000,0.1086,10,151.0,19.0,0.2031,0.2031,10,10,1.8704,170.0,RAM,1g,data/series_1/RAM/summary_1g.csv,comb3000,0.1086,,False,0.1086
comb3000s,0.1282,10,151.0,20.0,0.3125,0.3125,10,10,2.4376,171.0,RAM,1g,data/series_1/RAM/summary_1g.csv,comb3000s,0.1282,,False,0.1282
conform1,0.0231,3,9.0,30.0,0.1992,0.1992,3,3,8.6242,39.0,RAM,1g,data/series_1/RAM/summary_1g.csv,conform1,0.0231,,False,0.0231
cpdm5,43.4864,5,348.0,2586.0,62.0093,64.6016,5,5,1.4856,2934.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cpdm5,43.4864,,False,43.4864
cyclic5,0.2615,5,98.0,350.0,0.1992,0.1992,5,5,0.7618,448.0,RAM,1g,data/series_1/RAM/summary_1g.csv,cyclic5,0.2615,,False,0.2615
